Player_Name,Points,Team,height,weight,Position,collage,Age,All_Star
"Rony Seikaly",42,NJN,211,104,C,"Syracuse University",32,0
"God Shammgod",61,WAS,183,76,PG,"Providence College",21,0
"Brian Shaw",372,TOT,198,86,PG,"University of California, Santa Barbara",31,0
"Brian Shaw",251,GSW,198,86,PG,"University of California, Santa Barbara",31,0
"Brian Shaw",121,PHI,198,86,PG,"University of California, Santa Barbara",31,0
"Dickey Simpkins",132,TOT,206,112,PF,"Providence College",25,0
"Dickey Simpkins",54,GSW,206,112,PF,"Providence College",25,0
"Dickey Simpkins",78,CHI,206,112,PF,"Providence College",25,0
"Reggie Slater",625,TOR,201,97,PF,"University of Wyoming",27,0
"Charles Smith",119,TOT,208,104,SG,"University of Pittsburgh",22,0
"Charles Smith",10,MIA,208,104,SG,"University of Pittsburgh",22,0
"Charles Smith",109,LAC,208,104,SG,"University of Pittsburgh",22,0
"Joe Smith",1155,TOT,213,106,PF,"University of Southern Colorado",22,0
"Joe Smith",846,GSW,213,106,PF,"University of Southern Colorado",22,0
"Joe Smith",309,PHI,213,106,PF,"University of Southern Colorado",22,0
"Michael Smith",251,TOT,208,102,PF,"Brigham Young University",25,0
"Michael Smith",69,SAC,208,102,PF,"Brigham Young University",25,0
"Michael Smith",182,VAN,208,102,PF,"Brigham Young University",25,0
"Steve Smith",1464,ATL,201,90,SG,"Michigan State University",28,0
"Tony Smith",19,MIL,201,95,PG,,29,0
"Rik Smits",1216,IND,224,113,C,"Marist College",31,0
"Eric Snow",209,TOT,190,86,PG,"Michigan State University",24,0
"Eric Snow",25,SEA,190,86,PG,"Michigan State University",24,0
"Eric Snow",184,PHI,190,86,PG,"Michigan State University",24,0
"Felton Spencer",162,GSW,213,120,C,"University of Louisville",30,0
"Latrell Sprewell",299,GSW,196,86,SG,"University of Alabama",27,0
"Jerry Stackhouse",1249,TOT,198,98,SG-SF,"University of North Carolina",23,0
"Jerry Stackhouse",353,PHI,198,98,SF,"University of North Carolina",23,0
"Jerry Stackhouse",896,DET,198,98,SG,"University of North Carolina",23,0
"John Starks",1059,NYK,190,81,SG,"Oklahoma State University",32,0
"Joe Stephens",27,HOU,201,95,SF,"University of Arkansas at Little Rock",25,0
"Kebu Stewart",40,PHI,203,108,PF,"California State University, Bakersfield",24,0
"Michael Stewart",375,SAC,208,104,C,"University of California",22,0
"Bryant Stith",235,DEN,196,94,SG,"University of Virginia",27,0
"John Stockton*",770,UTA,185,77,PG,"Gonzaga University",35,0
"Ed Stokes",3,TOR,213,119,C,"University of Arizona",26,0
"Damon Stoudamire",1225,TOT,178,77,PG,"University of Arizona",24,0
"Damon Stoudamire",952,TOR,178,77,PG,"University of Arizona",24,0
"Damon Stoudamire",273,POR,178,77,PG,"University of Arizona",24,0
"Erick Strickland",511,DAL,190,95,SG,"University of Nebraska",24,0
"Mark Strickland",349,MIA,206,95,PF,"Temple University",27,0
"Rod Strickland",1349,WAS,196,90,PG,"Jacksonville University",31,0
"Derek Strong",736,ORL,203,99,PF,"Xavier University",29,0
"Bob Sura",267,CLE,196,90,SG,"Florida State University",24,0
"Zan Tabak",307,TOT,213,111,C,,27,0
"Zan Tabak",248,TOR,213,111,C,,27,0
"Zan Tabak",59,BOS,213,111,C,,27,0
"Johnny Taylor",38,ORL,206,99,SF,"University of Tennessee at Chattanooga",23,0
"Maurice Taylor",815,LAC,206,117,PF,"University of Michigan",21,0
"Carl Thomas",148,TOT,193,79,SG,"Eastern Michigan University",28,0
"Carl Thomas",62,GSW,193,79,SG,"Eastern Michigan University",28,0
"Carl Thomas",9,ORL,193,79,SG,"Eastern Michigan University",28,0
"Carl Thomas",77,CLE,193,79,SG,"Eastern Michigan University",28,0
"John Thomas",151,TOT,198,92,PF,"Marquette University",22,0
"John Thomas",108,BOS,198,92,PF,"Marquette University",22,0
"John Thomas",43,TOR,198,92,PF,"Marquette University",22,0
"Kurt Thomas",37,DAL,206,104,PF,"Texas Christian University",25,0
"Tim Thomas",845,PHI,208,104,SF,"Villanova University",20,0
"Brooks Thompson",59,TOT,193,87,PG,"Oklahoma State University",27,0
